building,counts
578 6 AV,9
207 VARICK ST,9
563 1 AV AV,9
14 E 3 AV ST,9
340 E 24 ST,9
1175 THIRD AV,9
133 W 22 ST,9
348 MADISON AV,9
469 AV AV,9
70 PINE ST,9
247 W 34 ST,9
950 3 AV,9
401 E 34 ST,9
1987 3 AV,9
1752 BWAY,9
611 FIRST AV,9
156 WILLIAM ST,9
491 AV AV,9
26 E 63 ST,9
442 E 20 ST,9
1368 AVE OF AMERICAS,9
463 5 AV,9
250 W ST,9
446 LEXINGTON AV,9
13 W 37 ST,9
240 W 4 AV ST,9
203 W 34 ST,9
462 FIRST AV,9
17 W END AV,9
105 MADISON AV,9
222 E 41 ST,9
19 RECTOR ST,9
455 FIRST AV,9
75 3 AV,9
1 W END AV,9
51 W 52ND ST,9
31 W 34 ST,9
115 W 2 AV ST,9
141 E 25 ST,9
3750 BRDWAY,9
10 W 57 ST,9
404 E 79 ST,9
60 LAFAYETTE ST,9
2222 BWAY,9
95 CHURCH ST,9
759 BRDWAY,9
150 CENTRAL PK SO,9
29 3 AV,9
344 W 72 ST,9
635 6 AV,9
415 FIFTH AV,9
1519 AMSTERDAM AV,9
153 W 2 AV ST,9
484 BROOME ST,9
11 MADISON AV,9
600 BRDWAY,9
243 LEXINGTON AV,9
4 E 52ND ST,9
101 W 7 AV ST,9
102 NORTH END AV,9
57 WORTH ST,9
509 8 AV,9
1 UNITED NATIONS PLAZA,9
140 4 AV,9
75 W ST,9
396 BWAY,9
170 E END AV,9
108 W 3 AV ST,9
1001 AVE OF THE AMER,9
79 AV AV,9
269 MADISON AV,9
80 PEARL ST,9
125 JOHN ST,9
305 E 86 ST,9
57 WATTS ST,9
529 BWAY,9
120 VERMILYEA AV,9
395 HUDSON ST,9
1 BOND ST,9
203 W 24 ST,9
772 BRDWAY,9
119 VARICK ST,9
622 E 20 ST,9
527 W 23 ST,8
89 MADISON AV,8
272 1 AV,8
2 GOLD ST,8
260 W 40 ST,8
1195 BRDWAY,8
300 W 109 ST,8
40 FULTON ST,8
541 W 21 ST,8
335 E 9 ST,8
100 E 77 ST,8
39 W 3 AV ST,8
234 W 39 ST,8
207 E 3 AV ST,8
1 E 6 AV ST,8
400 W 37 ST,8
711 W END AV,8
1100 AVE OF THE AMERICAS,8
222 E 65 ST,8
135 E 49 ST,8
552 W 182 ST,8
157 W 83 ST,8
866 FIRST AV,8
51 CHAMBERS ST,8
133 W 21 ST,8
122 W 2 AV ST,8
269 GREENWICH ST,8
28 W 9 AV ST,8
521 W BRDWAY,8
120 CHRISTOPHER ST,8
30 E 2 AV ST,8
51 ASTOR PL,8
246 W 3 AV ST,8
61 W 5 AV ST,8
45 E 33 ST,8
750 LEXINGTON AV,8
408 BRDWAY,8
500 W 30 ST,8
388 GREENWICH ST,8
135 W 45 ST,8
307 W 35 ST,8
200 E 65 ST,8
92 MORNINGSIDE AV,8
307 W 38 ST,8
66 W 45 ST,8
135 W 33 ST,8
223 E 23 ST,8
96 TRINITY PL,8
33 BEEKMAN ST,8
263 W 23 ST,8
814 MADISON AV,8
8 E 29 ST,8
441 9 AV,8
160 BRDWAY,8
438 W 37 ST,8
64 W 58 ST,8
21 IRVING PL,8
27 E 6 AV ST,8
518 LEXINGTON AV,8
101 FIFTH AV,8
1 WHITEHALL ST,8
423 W 55 ST,8
2121 7 AV,8
311 W BRDWAY,8
420 PARK AV,8
22 W 2 AV ST,8
325 W 33 ST,8
148 NASSAU ST,8
159 W 45 ST,8
66 3 AV,8
29 E 64 ST,8
37 E 6 AV ST,8
655 PARK AV,8
170 W 7 AV ST,8
2150 BRDWAY,8
113 MAIDEN LANE,8
1280 LEXINGTON AV,8
9 MURRAY ST,8
80 COLUMBUS AV,8
353 W 57 ST,8
320 CENTRAL PK W,8
10 GRACIE SQ,8
448 W 17 ST,8
708 BRDWAY,8
2448 BWAY,8
42 W 4 AV ST,8
1130 PARK AV,8
329 PLEASANT AV,8
253 BRDWAY,8
109 W 2 AV ST,8
10 W 15 ST,8
1 BRDWAY,8
845 AV AV,8
220 LEXINGTON AV,8
424 E 34 ST,8
30 W 67 ST,8
295 MADISON AV,8
1120 5 AV,8
64 W 36 ST,8
55 W 2 AV ST,8
339 W 36 ST,8
131 E 6 AV ST,8
110 NASSAU ST,8
8 LISPENARD ST,8
310 W BRDWAY,8
413 GRAND ST,8
228 W 47 ST,8
825 FIRST AV,8
2 5 AV,8
720 LENOX AV,8
327 E 64 ST,8
314 W 138 ST,8
106 CENTRAL PARK SOUTH,8
15 E 2 AV ST,8
341 HUDSON ST,8
161 FORT WASHINGTON AV,8
401 E 3 AV ST,8
113 W 18 ST,8
350 W ST,8
501 W 143 ST,8
26 VANDAM ST,8
280 BRDWAY,8
101 W 5 AV ST,8
700 LENOX AV,8
37 IRVING PL,8
228 E 57 ST,8
164 W 75 ST,8
61 COLUMBUS AV,8
599 BRDWAY,8
261 MADISON AV,8
309 W 36 ST,8
560 BRDWAY,8
332 E 6 ST,8
196 MULBERRY ST,8
302 W 8 AV ST,8
310 RIVERSIDE DR,8
95 WORTH ST,8
340 8 AV,8
18 W 2 AV ST,8
39 W 19 ST,8
130 WILLIAM ST,8
17 W 6 AV ST,8
13 W 2 AV ST,8
622 BRDWAY,8
28 E 52ND ST,8
375 LEXINGTON AV,8
555 FIFTH AV,8
504 GRAND ST,8
175 W 60 ST,8
30 VARICK ST,8
225 BOWERY,8
50 W 58 ST,8
231 W 3 AV ST,8
23 W 55 ST,8
203 E 92 ST,8
2 E 86 ST,8
85 ST NICHOLAS TERRACE,8
2 RIVER TERRACE,8
767 5 AV,8
315 W 3 AV ST,8
500 E 14 ST,7
883 SECOND AV,7
524 E 72 ST,7
44 E 32ND ST,7
140 W 102 ST,7
101 10 AV,7
406 W 31 ST,7
701 1 AV,7
1162 2 AV,7
269 W 40 ST,7
5 UNION SQUARE W,7
440 W 41 ST,7
125 W 4 AV ST,7
410 E 54 ST,7
251 W 8 AV ST,7
1 E 33 ST,7
200 W 16 ST,7
69 BRDWAY,7
139 HUDSON ST,7
935 BWAY,7
325 W BRDWAY,7
62 W 47 ST,7
135 W 3 AV ST,7
681 MADISON AV,7
175 5 AV,7
312 W 31 ST,7
233 SPRING ST,7
95 MORTON ST,7
1186 BRDWAY,7
641 6 AV,7
172 ELIZABETH ST,7
83 JOHN ST,7
66 W 12 ST,7
1412 BRDWAY,7
224 W 4 AV ST,7
27 W 44 ST,7
344 AMSTERDAM AV,7
141 W 4 AV ST,7
603 W 129 ST,7
276 AV AV,7
46 E 7 AV ST,7
30 WALL ST,7
40 WASHINGTON SQUARE SOUTH,7
471 PARK AVE S,7
150 RIVERSIDE DR,7
6 W 64 ST,7
55 W 13 ST,7
55 E 10 ST,7
280 PARK AV SOUTH,7
122 AV AV,7
15 MAIDEN LANE,7
13 W 55 ST,7
617 LEXINGTON AV,7
500 MADISON AV,7
1377 YORK AV,7
1568 BRDWAY,7
41 ST NICHOLAS PL,7
537 GREENWICH ST,7
1178 MADISON AV,7
374 BRDWAY,7
229 CHRYSTIE ST,7
245 5 AV,7
252 W 38 ST,7
225 W 3 AV ST,7
5 W 125 ST,7
43 BLEECKER ST,7
594 BRDWAY,7
136 VARICK ST,7
235 W 4 AV ST,7
405 E 14 ST,7
128 W 65 ST,7
265 W 3 AV ST,7
1 5 AV,7
509 5 AV,7
19 W 3 AV ST,7
1081 AV AV,7
425 E 6 AV ST,7
101 WHITE ST,7
900 MAIN ST,7
410 GRAND ST,7
59 DIVISION ST,7
235 W 7 AV ST,7
489 FIFTH AV,7
241 W 3 AV ST,7
55 WALL ST,7
144 11 AV,7
4 E 43 ST,7
17 UNION SQUARE W,7
517 W 29 ST,7
515 W 52 ST,7
76 BEAVER ST,7
40 W 35 ST,7
90 GOLD ST,7
361 BRDWAY,7
68 PARK AV,7
508 W 42 ST,7
1364 BWAY,7
132 W 21 ST,7
632 MADISON AV,7
103 E 8 AV ST,7
80 NASSAU ST,7
161 W 10 ST,7
754 5 AV,7
311 W 127 ST,7
434 PARK AVE SOUTH,7
151 W 25 ST,7
421 E 12 ST,7
135 MADISON AV,7
200 E 62 ST,7
123 W 57 ST,7
81 MAIDEN LANE,7
498 W END AV,7
12 W 2 AV ST,7
954 LEXINGTON AV,7
1 FULTON ST,7
34 COOPER SQUARE,7
49 W 1 AV ST,7
338 W 39 ST,7
164 W 66 ST,7
1011 3 AV,7
1060 AMSTERDAM AV,7
27 W 23 ST,7
220 W 9 AV ST,7
735 6 AV,7
250 W 9 AV ST,7
66 BEAVER ST,7
12 E 48 ST,7
268 MADISON AV,7
902 BRDWAY,7
252 W 3 AV ST,7
875 W END AV,7
331 CENTRAL PK W,7
120 WOOSTER ST,7
200 E BRDWAY,7
229 BRDWAY,7
301 E 57 ST,7
2131 BRDWAY,7
32 E 57 ST,7
450 W 3 AV ST,7
264 W 25 ST,7
96 BRDWAY,7
571 8 AV,7
124 E 107 ST,7
800 AV AV,7
2780 BRDWAY,7
2145 2 AV,7
157 E 57 ST,7
1 UNIVERSITY PL,7
172 E 79 ST,7
201 E 42 ST,7
627 GREENWICH ST,7
135 E 4 AV ST,7
124 WHITE ST,7
415 E 37 ST,7
729 SEVENTH AV,7
528 AV AV,7
53 W 14 ST,7
118 W 47 ST,7
859 9 AV,7
9 PARK PL,7
205 W 39 ST,7
160 MADISON AV,7
323 E 44 ST,7
200 RIVERSIDE BLVD,7
19 PARK PL,7
568 BRDWAY,7
478 BRDWAY,7
336 CANAL ST,7
503 BRDWAY,7
3 E 54 ST,7
312 E 42 ST,7
660 W END AV,7
421 E 116 ST,7
117 W 21 ST,7
114 JOHN ST,7
159-00 RIVERSIDE DRIVE W,7
157 W 24 ST,7
133 GREENWICH ST,7
142 E 92 ST,7
1385 BWAY,7
666 5 AV,7
102 MADISON AV,7
550 SEVENTH AV,7
895 BRDWAY,7
1026 FIRST AV,7
335 W 16 ST,7
25 GREAT JONES ST,7
1507 BRDWAY,7
461 W 34 ST,6
54 VARICK ST,6
603 W 185 ST,6
463 W 125 ST,6
8 MAIDEN LANE,6
525 BRDWAY,6
228 W 7 AV ST,6
15 W 25 ST,6
558 BRDWAY,6
530 AMSTERDAM AV,6
460 W 4 AV ST,6
601 W 11 AV ST,6
42 W 5 AV ST,6
128 PINEHURST AV,6
441 5 AV,6
257 PARK AV SOUTH,6
52 E END AV,6
406 E 29 ST,6
90 LEXINGTON AV,6
1 ASTOR PLAZA,6
25 W 13 ST,6
2360 BRDWAY,6
35 E 4 AV ST,6
124 E 66 ST,6
453 BROOME ST,6
529 W 158 ST,6
100 GREENWICH ST,6
1875 MADISON AV,6
81 TENTH AV,6
198 LEXINGTON AV,6
333 E 102 ST,6
770 11 AV,6
841 9 AV,6
246 W END AV,6
