building,counts
23 ALEX CIRCLE,1
29 ARROWOOD COURT,1
50 YACHT CLUB COVE,1
3911 RICHMOND AV,1
103 WATER ST,1
8 SETH COURT,1
373 CASTLETON AV,1
71 PURCELL ST,1
75 BENNETT ST,1
1355 CASTLETON AV,1
68 LISBON PL,1
231 STEUBEN ST,1
1122 TODT HILL RD,1
815 MANOR RD,1
1655 RICHMOND AV,1
74 TODT HILL RD,1
570 MIDLAND AV,1
1501 RICHMOND AV,1
3021 VETERANS RD W,1
139 VICTORY BLVD,1
1220 MANOR RD,1
210 BRD ST,1
10 KISSAM AV,1
39 WENTRY RD,1
55 DELAFIELD PL,1
873 TRAVIS AV,1
78 HOWARD AV,1
16 OSGOOD AV,1
519 MIDLAND AV,1
3333 HYLAN BLVD,1
20 FINLEY AV,1
75 ESSEX DRIVE,1
4300 HYLAN BLVD,1
2945 VETERANS RD W,1
363 HOWARD AV,1
6 HAMILTON ST,1
28 HELENA RD,1
34 GAYNOR ST,1
1120 SOUTH AV,1
165 BARNARD AV,1
100 PARK AV,1
697 FOREST AV,1
305 ST MARKS PL,1
3295 AMBOY RD,1
1260 HYLAN BLVD,1
166 ROMA AV,1
109 PORT RICHMOND AV,1
42 DE GROOT PL,1
625 FR CAPODANNO BLVD,1
1845 RICHMOND AV,1
31 MARKHAM LANE,1
27 CENTRAL AV,1
159 BRDWAY,1
310 TIMBER RIDGE DRIVE,1
54 CENTRAL AV,1
2000 HYLAN BLVD,1
31 MAPLETON AV,1
161 FOREST RD,1
25 W ENTRY RD,1
151 NICOLOSI DRIVE,1
150 CLOVE RD,1
1201 FOREST AV,1
38 GARY PL,1
40 WAKEFIELD RD,1
53 STANLEY AV,1
2172 RICHMOND TERRACE,1
50 BRIELLE AV,1
970 RICHMOND AV,1
59 WERVELT AV,1
308 FRONT ST,1
21 NEW LANE,1
345 TAYLOR ST,1
1761 FOREST AV,1
222 FREEBORN ST,1
160 MAIN ST,1
188 1/2 WIMAN AV,1
126 HAMILTON AV,1
640 VICTORY BLVD,1
400 FOREST AV,1
193 BATHGATE ST,1
217 MAIN ST,1
347 DARLINGTON AV,1
141 BLACKFORD AV,1
31 WAVE ST,1
1360 HYLAN BLVD,1
446 WERVELT AV,1
16 AVON PL,1
30 SOUTH BRIDGE ST,1
100 GRAHAM BLVD,1
303 CENTER ST,1
2420 ARTHUR KILL RD,1
3231 RICHMOND AV,1
21 EGMONT PL,1
119 OSWEGO ST,1
136 BEVERLY AV,1
300 W SERVICE RD,1
526 RICHMOND TERRACE,1
559 NORTH RAILRD AV,1
657 CASTLETON AV,1
19 GRANITE AV,1
15 VANDERBILT AV,1
28 PLEASANT VALLEY AV,1
360 INDUSTRIAL LOOP,1
200 NEDRA LANE,1
4142 HYLAN BLVD,1
27 BANGOR ST,1
797 BRIGHTON AV,1
27 WRIGHT AV,1
814 RICHMOND TERRACE,1
4024 AMBOY RD,1
11 OAK ST,1
375 SEGUINE AV,1
592 BAY ST,1
319 MERRYMOUNT ST,1
769 SEAVIEW AV,1
100 LAMPORT BLVD,1
79 CEDAR TERRACE,1
555 GREELEY AV,1
15 HUDSON ST,1
510 ARBUTUS AV,1
514 FOREST RD,1
7324 AMBOY RD,1
1416 HYLAN BLVD,1
1390 RICHMOND TERRACE,1
221 FOREST AV,1
209 BRD ST,1
57 SWEETBROOK RD,1
440 SEAVIEW AV,1
185 NORTH BURGHER AV,1
3117 RICHMOND RD,1
3311 HYLAN BLVD,1
33 WERVELT AV,1
20 MERLE PL,1
63 BAYSIDE LANE,1
149 PINE PL,1
130 DUBOIS AV,1
2493 RICHMOND RD,1
309 HOWARD AV,1
38 RICHMOND AV,1
736 CASTLETON AV,1
70 PLEASANT PLAINS AV,1
225 ST JOHNS AV,1
349 FAIRBANKS AV,1
39 SEAFOAM ST,1
80 IRON MINE DRIVE,1
202-204 ROMA AV,1
8 JOHNSON ST,1
11 AZALEA COURT,1
287 RICHMOND AV,1
3651 RICHMOND RD,1
25 JULIEANN COURT,1
392 SEGUINE AV,1
226 VAN DUZER ST,1
271 CLOVE RD,1
94 POILLON AV,1
496 TODT HILL RD,1
509 SEGUINE AV,1
45 DISCALA LANE,1
24 WAYNE ST,1
25 COPPERLEAF TERRACE,1
271 RICE AV,1
1197 CLOVE RD,1
601 W FINGERBOARD RD,1
4435 B VICTORY BLVD,1
126 OSGOOD AV,1
50 BAY ST,1
59 SHERMAN AV,1
28 POTTER AV,1
162 KINGDOM AV,1
233 STOBE AV,1
3155 AMBOY RD,1
17 BOWEN ST,1
