boro,door_number,street_address
1,2179,BRDWAY
1,4337,BRDWAY
1,3015,BRDWAY
1,2309,BRDWAY
1,4295,BRDWAY
1,636,BRDWAY
1,4696,BRDWAY
1,3471,BRDWAY
1,441,BRDWAY
1,1451,BRDWAY
1,696,BRDWAY
1,1881,BRDWAY
1,1145,BRDWAY
1,3040,BRDWAY
1,3671,BRDWAY
1,704,BRDWAY
1,1730,BRDWAY
1,4460,BRDWAY
1,903,BRDWAY
1,853,BRDWAY
1,809,BRDWAY
1,2451,BRDWAY
1,1650,BRDWAY
1,1240,BRDWAY
1,1991,BRDWAY
1,4290,BRDWAY
1,1212,BRDWAY
1,52,BRDWAY
1,372,BRDWAY
1,4073,BRDWAY
1,4402,BRDWAY
1,381,BRDWAY
1,2361,BRDWAY
1,32,BRDWAY
1,4469,BRDWAY
1,3007,BRDWAY
1,924,BRDWAY
1,714,BRDWAY
1,2465,BRDWAY
1,488,BRDWAY
1,1441,BRDWAY
1,513,BRDWAY
1,1129,BRDWAY
1,3080,BRDWAY
1,632,BRDWAY
1,408,BRDWAY
1,1133,BRDWAY
1,583,BRDWAY
1,2879,BRDWAY
1,2647,BRDWAY
1,507,BRDWAY
1,3005,BRDWAY
1,4948,BRDWAY
1,2874,BRDWAY
1,1845,BRDWAY
1,1752,BRDWAY
1,2940,BRDWAY
1,1181,BRDWAY
1,4971,BRDWAY
1,2460,BRDWAY
1,3283,BRDWAY
1,4420,BRDWAY
1,874,BRDWAY
1,5210,BRDWAY
1,932,BRDWAY
1,3657,BRDWAY
1,600,BRDWAY
1,3751,BRDWAY
1,2708,BRDWAY
1,1220,BRDWAY
1,2871,BRDWAY
1,473,BRDWAY
1,360,BRDWAY
1,1697,BRDWAY
1,475,BRDWAY
1,591,BRDWAY
1,867,BRDWAY
1,182,BRDWAY
1,558,BRDWAY
1,4411,BRDWAY
1,2643,BRDWAY
1,5073,BRDWAY
1,393,BRDWAY
1,49,BRDWAY
1,452,BRDWAY
1,3478,BRDWAY
1,1260,BRDWAY
1,568,BRDWAY
1,4650,BRDWAY
1,1161,BRDWAY
1,1633,BRDWAY
1,3243,BRDWAY
1,797,BRDWAY
1,111,BRDWAY
1,404,BRDWAY
1,4468,BRDWAY
1,1164,BRDWAY
1,2783,BRDWAY
1,150,BRDWAY
1,1181,BRDWAY
1,3647,BRDWAY
1,2069,BRDWAY
1,3240,BRDWAY
1,364,BRDWAY
1,3505,BRDWAY
1,1535,BRDWAY
1,4162,BRDWAY
1,1,BRDWAY
1,96,BRDWAY
1,291,BRDWAY
1,2930,BRDWAY
1,2391,BRDWAY
1,2966,BRDWAY
1,894,BRDWAY
1,2188,BRDWAY
1,2341,BRDWAY
1,836,BRDWAY
1,26,BRDWAY
1,1384,BRDWAY
1,313,BRDWAY
1,680,BRDWAY
1,2020,BRDWAY
1,663,BRDWAY
1,560,BRDWAY
1,890,BRDWAY
1,269,BRDWAY
1,1945,BRDWAY
1,840,BRDWAY
1,4996,BRDWAY
1,831,BRDWAY
1,491,BRDWAY
1,1475,BRDWAY
1,893,BRDWAY
1,1775,BRDWAY
1,2628,BRDWAY
1,2340,BRDWAY
1,2360,BRDWAY
1,29,BRDWAY
1,2160,BRDWAY
1,625,BRDWAY
1,4915,BRDWAY
1,3512,BRDWAY
1,584,BRDWAY
1,1271,BRDWAY
1,1186,BRDWAY
1,686,BRDWAY
1,1776,BRDWAY
1,692,BRDWAY
1,2880,BRDWAY
1,736,BRDWAY
1,588,BRDWAY
1,1585,BRDWAY
1,593,BRDWAY
1,2124,BRDWAY
1,3565,BRDWAY
1,10,BRDWAY
1,2330,BRDWAY
1,4913,BRDWAY
1,2211,BRDWAY
1,2528,BRDWAY
1,2389,BRDWAY
1,3111,BRDWAY
1,3544,BRDWAY
1,3449,BRDWAY
1,1255,BRDWAY
1,771,BRDWAY
1,4391,BRDWAY
1,212,BRDWAY
1,1745,BRDWAY
1,354,BRDWAY
1,2344,BRDWAY
1,2468,BRDWAY
1,1431,BRDWAY
1,1680,BRDWAY
1,920,BRDWAY
1,2139,BRDWAY
1,77,BRDWAY
1,176,BRDWAY
1,3060,BRDWAY
1,4020,BRDWAY
1,401,BRDWAY
1,1627,BRDWAY
1,3601,BRDWAY
1,4232,BRDWAY
1,385,BRDWAY
1,2480,BRDWAY
1,1200,BRDWAY
1,390,BRDWAY
1,3809,BRDWAY
1,258,BRDWAY
1,3430,BRDWAY
1,1789,BRDWAY
1,1140,BRDWAY
1,817,BRDWAY
1,2512,BRDWAY
1,3405,BRDWAY
1,3920,BRDWAY
1,2560,BRDWAY
1,2381,BRDWAY
1,462,BRDWAY
1,518,BRDWAY
1,2789,BRDWAY
1,2824,BRDWAY
1,833,BRDWAY
1,377,BRDWAY
1,577,BRDWAY
1,599,BRDWAY
1,247,BRDWAY
1,3489,BRDWAY
1,4151,BRDWAY
1,160,BRDWAY
1,2660,BRDWAY
1,1179,BRDWAY
1,166,BRDWAY
1,2612,BRDWAY
1,510,BRDWAY
1,4666,BRDWAY
1,536,BRDWAY
1,2692,BRDWAY
1,801,BRDWAY
1,446,BRDWAY
1,1551,BRDWAY
1,1530,BRDWAY
1,598,BRDWAY
1,4861,BRDWAY
1,1412,BRDWAY
1,2476,BRDWAY
1,1435,BRDWAY
1,3580,BRDWAY
1,281,BRDWAY
1,1724,BRDWAY
1,4574,BRDWAY
1,5141,BRDWAY
1,710,BRDWAY
1,1311,BRDWAY
1,3489,BRDWAY
1,2508,BRDWAY
1,498,BRDWAY
1,3381,BRDWAY
1,3840,BRDWAY
1,2525,BRDWAY
1,356,BRDWAY
1,1462,BRDWAY
1,640,BRDWAY
1,25,BRDWAY
1,1674,BRDWAY
1,476,BRDWAY
1,648,BRDWAY
1,42,BRDWAY
1,520,BRDWAY
1,656,BRDWAY
1,115,BRDWAY
1,3221,BRDWAY
1,4101,BRDWAY
1,1385,BRDWAY
1,3760,BRDWAY
1,2248,BRDWAY
1,177,BRDWAY
1,514,BRDWAY
1,1493,BRDWAY
1,484,BRDWAY
1,229,BRDWAY
1,2491,BRDWAY
1,343,BRDWAY
1,552,BRDWAY
1,1780,BRDWAY
1,4241,BRDWAY
1,170,BRDWAY
1,1981,BRDWAY
1,2131,BRDWAY
1,1359,BRDWAY
1,412,BRDWAY
1,449,BRDWAY
1,3041,BRDWAY
1,1411,BRDWAY
1,700,BRDWAY
1,1992,BRDWAY
1,472,BRDWAY
1,881,BRDWAY
1,1367,BRDWAY
1,2209,BRDWAY
1,3810,BRDWAY
1,2609,BRDWAY
1,865,BRDWAY
1,359,BRDWAY
1,3679,BRDWAY
1,2333,BRDWAY
1,4573,BRDWAY
1,1889,BRDWAY
1,1372,BRDWAY
1,5000,BRDWAY
1,668,BRDWAY
1,225,BRDWAY
1,3155,BRDWAY
1,650,BRDWAY
1,2560,BRDWAY
1,1550,BRDWAY
1,880,BRDWAY
1,2828,BRDWAY
1,835,BRDWAY
1,3660,BRDWAY
1,1481,BRDWAY
1,772,BRDWAY
1,712,BRDWAY
1,4445,BRDWAY
1,380,BRDWAY
1,458,BRDWAY
1,3657,BRDWAY
1,873,BRDWAY
1,494,BRDWAY
1,1930,BRDWAY
1,1165,BRDWAY
1,5025,BRDWAY
1,2900,BRDWAY
1,3281,BRDWAY
1,1232,BRDWAY
1,2067,BRDWAY
1,2800,BRDWAY
1,2241,BRDWAY
1,580,BRDWAY
1,1613,BRDWAY
1,597,BRDWAY
1,1185,BRDWAY
1,2640,BRDWAY
1,3841,BRDWAY
1,627,BRDWAY
1,2021,BRDWAY
1,546,BRDWAY
1,4260,BRDWAY
1,1675,BRDWAY
1,311,BRDWAY
1,428,BRDWAY
1,1404,BRDWAY
1,4396,BRDWAY
1,1556,BRDWAY
1,50,BRDWAY
1,1145,BRDWAY
1,806,BRDWAY
1,682,BRDWAY
1,1505,BRDWAY
1,4530,BRDWAY
1,5240,BRDWAY
1,71,BRDWAY
1,1567,BRDWAY
1,1460,BRDWAY
1,1651,BRDWAY
1,5,BRDWAY
1,361,BRDWAY
1,1731,BRDWAY
1,5480,BRDWAY
1,2651,BRDWAY
1,466,BRDWAY
1,481,BRDWAY
1,1149,BRDWAY
1,371,BRDWAY
1,4041,BRDWAY
1,3458,BRDWAY
1,2054,BRDWAY
1,1446,BRDWAY
1,451,BRDWAY
1,3647,BRDWAY
1,3905,BRDWAY
1,4467,BRDWAY
1,1648,BRDWAY
1,2630,BRDWAY
1,821,BRDWAY
1,802,BRDWAY
1,525,BRDWAY
1,394,BRDWAY
1,683,BRDWAY
1,2400,BRDWAY
1,2310,BRDWAY
1,424,BRDWAY
1,1625,BRDWAY
1,666,BRDWAY
1,4300,BRDWAY
1,3885,BRDWAY
1,4320,BRDWAY
1,1270,BRDWAY
1,895,BRDWAY
1,3675,BRDWAY
1,2960,BRDWAY
1,549,BRDWAY
1,1995,BRDWAY
1,1141,BRDWAY
1,2201,BRDWAY
1,319,BRDWAY
1,2632,BRDWAY
1,1889,BRDWAY
1,450,BRDWAY
1,4862,BRDWAY
1,41,BRDWAY
1,443,BRDWAY
1,832,BRDWAY
1,3440,BRDWAY
1,2162,BRDWAY
1,565,BRDWAY
1,263,BRDWAY
1,902,BRDWAY
1,1352,BRDWAY
1,524,BRDWAY
1,2135,BRDWAY
1,860,BRDWAY
1,1328,BRDWAY
1,1472,BRDWAY
1,174,BRDWAY
1,3012,BRDWAY
1,253,BRDWAY
1,35,BRDWAY
1,5009,BRDWAY
1,830,BRDWAY
1,2681,BRDWAY
1,2970,BRDWAY
1,557,BRDWAY
1,3750,BRDWAY
1,1784,BRDWAY
1,4960,BRDWAY
1,759,BRDWAY
1,540,BRDWAY
1,3607,BRDWAY
1,3609,BRDWAY
1,2644,BRDWAY
1,2373,BRDWAY
1,5360,BRDWAY
1,2910,BRDWAY
1,1672,BRDWAY
1,391,BRDWAY
1,521,BRDWAY
1,1631,BRDWAY
1,349,BRDWAY
1,5041,BRDWAY
1,3461,BRDWAY
1,2724,BRDWAY
1,477,BRDWAY
1,3320,BRDWAY
1,1392,BRDWAY
1,561,BRDWAY
1,1740,BRDWAY
1,395,BRDWAY
1,4572,BRDWAY
1,545,BRDWAY
1,3612,BRDWAY
1,3351,BRDWAY
1,3280,BRDWAY
1,474,BRDWAY
1,2308,BRDWAY
1,1900,BRDWAY
1,133,W 19 ST
1,137,W 19 ST
1,220,W 19 ST
1,247,W 19 ST
1,155,W 19 ST
1,274,W 19 ST
1,51,W 19 ST
1,338,W 19 ST
1,49,W 19 ST
1,435,W 19 ST
1,39,W 19 ST
1,151,W 19 ST
1,420,W 19 ST
1,446,W 19 ST
1,16,W 19 ST
1,211,W 19 ST
1,111,W 19 ST
1,418,W 19 ST
1,56,W 19 ST
1,445,W 19 ST
1,401,W 19 ST
1,512,W 19 ST
1,524,W 19 ST
1,8,W 19 ST
1,37,W 19 ST
1,21,W 19 ST
1,22,W 19 ST
1,9,W 19 ST
1,27,W 19 ST
1,139,W 19 ST
1,11,W 19 ST
1,205,W 19 ST
1,444,W 19 ST
1,241,W 19 ST
1,400,W 19 ST
1,60,E 135 ST
1,45,E 135 ST
1,142,E 79 ST
1,215,E 79 ST
1,242,E 79 ST
1,180,E 79 ST
1,207,E 79 ST
1,50,E 79 ST
1,225,E 79 ST
1,62,E 79 ST
1,139,E 79 ST
1,321,E 79 ST
1,39,E 79 ST
1,156,E 79 ST
1,250,E 79 ST
1,177,E 79 ST
1,244,E 79 ST
1,151,E 79 ST
1,505,E 79 ST
1,515,E 79 ST
1,420,E 79 ST
1,226,E 79 ST
1,59,E 79 ST
1,346,E 79 ST
1,230,E 79 ST
1,12,E 79 ST
1,16,E 79 ST
1,334,E 79 ST
1,237,E 79 ST
1,229,E 79 ST
1,6,E 79 ST
1,404,E 79 ST
1,422,E 79 ST
1,325,E 79 ST
1,124,E 79 ST
1,58,E 79 ST
1,324,E 79 ST
1,20,E 79 ST
1,72,E 79 ST
1,127,E 79 ST
1,201,E 79 ST
1,102,E 79 ST
1,312,E 79 ST
1,168,E 79 ST
1,406,E 79 ST
1,440,E 79 ST
1,171,E 79 ST
1,8,E 79 ST
1,21,E 79 ST
1,74,E 79 ST
1,9,E 79 ST
1,180,E 79 ST
1,18,E 79 ST
1,239,E 79 ST
1,73,E 79 ST
1,301,E 79 ST
1,31,E 79 ST
1,410,E 79 ST
1,218,E 79 ST
1,136,E 79 ST
1,179,E 79 ST
1,53,E 79 ST
1,236,E 79 ST
1,208,E 79 ST
1,173,E 79 ST
1,414,E 79 ST
1,10,E 79 ST
1,228,E 79 ST
1,116,E 79 ST
1,172,E 79 ST
1,380,RECTOR PL
1,280,RECTOR PL
1,377,RECTOR PL
1,200,RECTOR PL
1,40,OVERLOOK TERRACE
1,55,OVERLOOK TERRACE
1,66,OVERLOOK TERRACE
1,55-59,OVERLOOK TERRACE
1,98,OVERLOOK TERRACE
