building,counts
48 WILLIAMS AV,5
146 CONCORD ST,5
41 WASHINGTON ST,5
196 MONTAGUE ST,5
699 DEKALB AV,5
293 WYONA ST,5
594 ALBANY AV,5
86 FLEET PL,5
1070 E NEW YORK AV,5
2555 E 12 ST,5
38 ASH ST,5
431 AV P,5
2955 SHELL RD,5
500 1 AV ST,5
357 9 ST,5
307 BAY RIDGE AV,5
7322 BAY PARKWAY,5
1793 CONEY ISLAND AV,5
1800 ALBEMARLE RD,5
721 FLATBUSH AV,5
336 FLATBUSH AV EXTENSION,5
5434 2 AV,5
21 ST PAULS COURT,5
4709 1 AV AV,5
191 SOUTH 4 ST,5
1255 BUSHWICK AV,5
331 SARATOGA AV,5
207 STARR ST,5
161 BUFFALO AV,5
286 ASHLAND PL,5
2807 KINGS HIGHWAY,5
640 PARKSIDE AV,5
336 ST MARKS AV,5
160 LAWRENCE AV,5
2365 E 7 ST,5
3001 W 29 ST,5
5800 TILDEN AV,5
670 POWELL ST,5
2109 85 ST,5
557 ATLANTIC AV,5
234 DUFFIELD ST,5
816 58 ST,5
361 3 AV,5
315 PARK AV,5
910 UNION ST,5
1311 BRIGHTWATER AV,5
3715 15 AV,5
67 MANHATTAN AV,5
590 DE KALB AV,5
408 FULTON ST,5
231 20 ST,5
236 LIVINGSTON ST,5
2 STODDARD PL,5
49 CROWN ST,5
1208 HERKIMER ST,5
423 LINCOLN PL,5
1078 E 15 ST,5
349 CENTRAL AV,5
65 MASPETH AV,5
315 SEIGEL ST,5
169 5 AV,5
605 E NEW YORK AV,5
202 TILLARY ST,5
1555 STERLING PL,5
209 KENT ST,5
55 FRANKLIN AV,5
56 BOGART ST,5
212 W ST,5
401 MACON ST,5
120 SCHERMERHORN ST,5
205 SPENCER ST,5
1156 DEAN ST,5
1915 AV H,5
60 FURMAN ST,5
1008 FULTON ST,5
847 LEXINGTON AV,5
238 RICHARDSON ST,5
216 COOK ST,5
378 AV T,5
50 SHEFFIELD AV,5
20 GRAND AV,5
76 GREEN ST,5
3000 AV X,5
187 20 ST,5
298 VANDERBILT AV,5
1480 PACIFIC ST,5
12266 FLATLANDS AV,5
1155 MANHATTAN AV,5
899 FLATBUSH AV,5
28 FULTON ST,5
337 74 ST,5
26 TIFFANY PL,5
246 JEFFERSON AV,5
5803 1 AV,5
245 GLENMORE AV,5
444 MONTGOMERY ST,5
43 HALL ST,5
598 VANDERBILT AV,5
264 CONOVER ST,5
262 GRAHAM AV,5
371 LINCOLN RD,5
9511 SHORE RD,5
210 JORALEMON ST,5
184 KENT AV,5
1904 AV N,5
1540 CONEY ISLAND AV,5
262 ATLANTIC AV,5
454 BRADFORD ST,5
1528 NOSTRAND AV,5
380 92 ST,5
166 LIVINGSTON ST,5
1358 56 ST,5
778 LIVONIA AV,5
74 E 49 ST,5
2201 NOSTRAND AV,5
420 LINCOLN AV,5
273 4 AV,5
151 MOFFAT ST,5
1001 49 ST,5
56A SOMERS ST,5
15 SNYDER AV,5
105 LEXINGTON AV,5
