comp_disp_inspection_by,comp_disp_date,nyc_BIN,location
2556,2016-10-13,4210316,"40.7104690,-73.7879150"
2751,2016-10-13,4215750,"40.6967510,-73.7976690"
1760,2016-10-13,4252987,"0.0000000,0.0000000"
2284,2016-10-13,4539469,"0.0000000,0.0000000"
2421,2016-10-13,3079871,"40.6843250,-73.9103760"
2246,2016-10-13,3248044,"40.5835643,-73.9339391"
2374,2016-10-13,3079871,"40.6843250,-73.9103760"
2771,2016-10-13,3079871,"40.6843250,-73.9103760"
2771,2016-10-13,3072163,"40.7075453,-73.9236372"
2374,2016-10-13,3072163,"40.7075453,-73.9236372"
2374,2016-10-13,3043611,"40.6913178,-73.9339721"
2771,2016-10-13,3043611,"40.6913178,-73.9339721"
2374,2016-10-13,3085056,"40.6641610,-73.8942579"
2773,2016-10-13,3085056,"40.6641610,-73.8942579"
2773,2016-10-13,3248044,"40.5835643,-73.9339391"
2610,2016-10-13,3039433,"40.6706370,-73.9207920"
2668,2016-10-13,3052779,"0.0000000,0.0000000"
686,2016-10-13,3170331,
2742,2016-10-13,3114848,"40.6599950,-73.9602410"
2742,2016-10-13,3030046,"40.6773010,-73.9480430"
686,2016-10-13,3345767,"40.6299992,-73.9703020"
2679,2016-10-13,3247881,"40.5851860,-73.9345010"
2679,2016-10-13,3247881,"40.5852448,-73.9344683"
686,2016-10-13,3055658,"40.6884636,-73.9592824"
686,2016-10-13,3055658,"40.6884636,-73.9592824"
1845,2016-10-13,3016787,"40.6627930,-73.9908030"
2263,2016-10-13,3038261,"40.6650470,-73.9337819"
2742,2016-10-13,3327223,"40.6388131,-73.9453314"
2744,2016-10-13,2117058,"40.8779775,-73.8504176"
1244,2016-10-13,2016735,"40.8698320,-73.8840000"
1795,2016-10-13,2014204,"40.8579140,-73.9056520"
2713,2016-10-13,2003660,"40.8088651,-73.9137814"
2744,2016-10-13,2120051,"40.8528062,-73.8470721"
2713,2016-10-13,2004420,"40.8144480,-73.9093819"
2402,2016-10-13,2114829,"40.8544977,-73.9100158"
2761,2016-10-13,2017426,"40.8678470,-73.8937840"
860,2016-10-13,2085024,"0.0000000,0.0000000"
2761,2016-10-13,2017763,"0.0000000,0.0000000"
860,2016-10-13,2007890,"40.8467210,-73.9094845"
2646,2016-10-13,1004489,"40.7227427,-73.9769955"
2646,2016-10-13,1004489,"40.7227629,-73.9766985"
2783,2016-10-13,1076281,"40.7558060,-73.9633524"
2633,2016-10-13,1016226,"40.7397510,-73.9898869"
2600,2016-10-13,1016226,"40.7397510,-73.9898869"
2342,2016-10-13,1083718,"40.7592077,-73.9841730"
2342,2016-10-13,1083718,"40.7592077,-73.9841730"
1795,2016-10-13,1054759,"40.7986160,-73.9342720"
1795,2016-10-13,1054759,"40.7986160,-73.9342720"
1795,2016-10-13,1007832,"40.7268734,-74.0036906"
2421,2016-10-13,1054680,"40.8033556,-73.9358587"
2600,2016-10-13,1048498,"40.7857990,-73.9515330"
2720,2016-10-13,1008744,
1780,2016-10-13,1053829,"40.8114850,-73.9419489"
2715,2016-10-13,1026318,"40.7679310,-73.9824500"
2715,2016-10-13,1026318,"40.7684251,-73.9831903"
2777,2016-10-13,1058272,"40.8147760,-73.9417100"
1244,2016-10-13,1063323,"40.8369010,-73.9452060"
2777,2016-10-13,1060086,"40.8188040,-73.9396400"
2777,2016-10-13,1060086,"40.8188040,-73.9396400"
1780,2016-10-13,1053829,"40.8114850,-73.9419489"
2715,2016-10-13,1029778,"40.7775623,-73.9815947"
2556,2016-10-13,1029778,"40.7775623,-73.9815947"
2556,2016-10-13,1029778,"40.7775623,-73.9815947"
2556,2016-10-13,1029778,"40.7775623,-73.9815947"
2721,2016-10-13,1005262,"40.7296270,-73.9800250"
2669,2016-10-13,1050554,"40.7767752,-73.9470536"
2600,2016-10-13,1048498,"40.7857990,-73.9515330"
2647,2016-10-13,1014559,"40.7385724,-73.9970391"
2765,2016-10-13,1063514,"40.8463702,-73.9389078"
2556,2016-10-13,1029778,"40.7775623,-73.9815947"
2556,2016-10-13,1060086,"40.8188040,-73.9396400"
2556,2016-10-13,1060086,"40.8188040,-73.9396400"
2556,2016-10-13,1060086,"40.8188040,-73.9396400"
