building,counts
921 HUNT'S POINT AV,4
1275 EDWARD L GRANT HIGHWAY,4
1223 WHITE PLAINS RD,4
678 SAGAMORE ST,4
4217 VIREO AV,4
215 E GUN HILL RD,4
1665 BARTOW AV,4
900 CO-OP CITY BLVD,4
355 FOOD CENTER DRIVE,4
1818 CLAY AV,4
1720 ECHESTER RD,4
387 E 158 ST,4
140 BENCHLEY PL,4
222 ALEXANDER AV,4
3457 ECHESTER RD,4
263 E GUN HILL RD,4
810 RIVER AV,4
600 CASTLE HILL AV,4
1058 SOUTHERN BLVD,4
3001 FAIRFIELD AV,4
3815 PUTNAM AV W,4
920 TRINITY AV,4
220 E 204 ST,4
3900 BAILEY AV,4
2316 BRUNER AV,4
221 W KINGSBRIDGE RD,4
1037 ZEREGA AV,4
120 DE KRUIF PL,4
3560 WEBSTER AV,4
30 PILOT ST,4
383 E 162 ST,4
592 WALES AV,4
2275 BARKER AV,4
330 BRUCKNER BLVD,4
1401 JESUP AV,4
2238 CRESTON AV,4
801 REAR CO-OP CITY BLVD,4
1404 JESUP AV,4
71 W 162 ST,4
3400 BAINBRIDGE AV,4
60 E 179 ST,4
200 W TREMONT AV,4
432 AUSTIN PL,4
1685 BOSTON RD,4
1420 NOBLE AV,4
3075 HEATH AV,4
836 WCHESTER AV,4
300 W TREMONT AV,4
3411 IRWIN AV,4
2939 THIRD AV,4
5800 ARLINGTON AV,4
3450 WAYNE AV,4
2150 CRESTON AV,4
1011 WASHINGTON AV,4
701 ELTON AV,4
120 ALCOTT PL,4
1904 VYSE AV,4
3540 DECATUR AV,4
960 SOUTHERN BLVD,4
2750 OLINVILLE AV,4
28 METROPOLITAN OVAL,4
2970 E TREMONT AV,4
2710 SEDGWICK AV,4
2550 OLINVILLE AV,4
452 E 148 ST,4
80 ERSKINE PL,4
610 EXTERIOR ST,4
120 BENCHLEY PL,4
850 E 138 ST,4
950 E 176 ST,4
92 VAN CORTLANDT PARK SOUTH,4
530 E 169 ST,4
142 HOLLYWOOD AV,4
716 BEACH AV,4
789 COOP CITY BLVD,4
961 E 180 ST,4
1602 SEDDON ST,4
805 E 139 ST,4
1500 PARKER ST,4
900 E 132 ST,4
814 TILDEN ST,4
1240 WASHINGTON AV,4
1691 E 174 ST,4
1363 JEROME AV,4
1740 GRAND AV,4
1850 LAFAYETTE AV,4
1600 STILLWELL AV,4
1033 BOSTON RD,4
801 NEILL AV,4
4722 CARPENTER AV,4
1072 GRAND CONCOURSE,4
410 E 189 ST,4
