building,counts
29 E 29TH ST,8
11           WEST 32 STREET,8
518 LEXINGTON AV,8
122 W 27TH ST,8
339 WEST 36 STREET,8
599 BROADWAY,8
320 CENTRAL PK W,8
222 E 65 ST,8
246 W 38TH ST,8
311 WEST BROADWAY,8
400 WEST 37 STREET,8
300 W 109 ST,8
334          WEST 36 STREET,8
220 LEXINGTON AVE,8
700 LENOX AVENUE,8
39 W 37TH ST,8
866 FIRST AVENUE,8
408 BROADWAY,8
735 LEXINGTON AVE,8
64 W 58 ST,8
305 EAST 86 STREET,8
401 E 34TH ST,8
3750         BROADWAY,8
340 8 AV,8
51 ASTOR PLACE,8
2150 BROADWAY,8
110 NASSAU STREET,8
161 FORT WASHINGTON AVENUE,8
23 WEST 55 STREET,8
170 WEST 73RD ST,8
307 WEST 35 STREET,8
106 CENTRAL PARK SOUTH,8
344 W 72 ST,8
39 W 32 ST,8
655 PARK AVE,8
845 1ST AVE,8
2 BROAD STREET,8
504 GRAND ST,8
135 WEST 45 STREET,8
329          PLEASANT AVENUE,8
523 LEXINGTON AVE,8
48 WALL ST,8
171 PEARL STREET,8
37 IRVING PLACE,8
353 W 57 ST,8
29 E 64 ST,8
51 CHAMBERS STREET,8
1 WHITEHALL STREET,8
2448 BWAY,8
231 W 39TH ST,8
541 WEST 21 STREET,8
484 BROOME STREET,8
80 COLUMBUS AVENUE,8
101 MURRAY STREET,8
310 WEST BROADWAY,8
95 WORTH STREET,8
19 RECTOR STREET,8
18 9 AVENUE,8
521 WEST BROADWAY,8
767 5 AVE,8
120          VERMILYEA AVENUE,8
101 FIFTH AVE,8
43 WORTH ST,8
64 W 36 ST,8
55 W 26TH ST,8
28 WEST 97TH ST,8
1 E 60TH ST,8
10 GRACIE SQ,8
438 WEST 37 STREET,8
15 PLATT STREET,8
395 HUDSON STREET,8
441 9 AVENUE,8
2 GOLD STREET,8
1120 5 AVENUE,8
325 WEST 33 STREET,8
96 TRINITY PLACE,8
511 LEXINGTON AVENUE,8
120          CHRISTOPHER STREET,8
507 WEST 28 STREET,8
253 BROADWAY,8
309 WEST 36 STREET,8
708 BROADWAY,8
39 W 19 ST,8
350 WEST STREET,8
8 LISPENARD STREET,8
159 W 45 ST,8
33 BEEKMAN STREET,8
600 BROADWAY,8
39 WEST 3 STREET,8
30 W 67 ST,8
21 IRVING PL,8
40 FULTON STREET,8
814 MADISON AVE,8
420 PARK AVE,8
2 E 86 ST,8
1100 AVE OF THE AMERICAS,8
310 RIVERSIDE DR,8
527 WEST 23 STREET,8
164 WEST 75 STREET,8
196 MULBERRY STREET,8
45 EAST 33 STREET,8
555 FIFTH AVE,8
263 WEST 23 STREET,8
272 1 AVENUE,8
175          DELANCEY STREET,8
8 EAST 29 STREET,8
307 WEST 38 STREET,8
750 LEXINGTON AVENUE,8
1130 PARK AVE,8
307          WEST 79 STREET,8
228 W 47 ST,8
900 MAIN STREET,7
32 E 57 ST,7
114 JOHN STREET,7
101 WHITE STREET,7
135 E 49TH ST,7
361 BROADWAY,7
132 WEST 21 STREET,7
311 WEST 127 STREET,7
500 MADISON AVENUE,7
157          WEST 24 STREET,7
335 WEST 16 STREET,7
375 LEXINGTON AVENUE,7
489 FIFTH AVE,7
144 11 AVENUE,7
182 HUDSON STREET,7
701 1 AVENUE,7
143 W 57TH ST,7
136 VARICK STREET,7
55 WALL STREET,7
1364 BWAY,7
81 MAIDEN LANE,7
224 W 30TH ST,7
568 BROADWAY,7
9 PARK PLACE,7
30 VARICK ST,7
1 FULTON ST,7
35           PERRY STREET,7
235 W 46TH ST,7
27 WILLIAM ST,7
735 6 AVENUE,7
67 WALL STREET,7
2131 BROADWAY,7
1377 YORK AVE,7
89 MADISON AVE,7
374 BROADWAY,7
199 WATER ST,7
61 COLUMBUS AVENUE,7
276 5TH AVE,7
125 W 45TH ST,7
1568 BROADWAY,7
6 W 64 ST,7
118 WEST 47 STREET,7
96 BROADWAY,7
76 BEAVER STREET,7
4            SOUTH PINEHURST AVENUE,7
90 GOLD STREET,7
388 BROADWAY,7
450 WEST 33RD ST,7
53 5 AVENUE,7
406 WEST 31 STREET,7
503 BROADWAY,7
280 PARK AVENUE SOUTH,7
122 5TH AVE,7
151 WEST 25 STREET,7
160 MADISON AVE,7
560 PARK AVE,7
935 BWAY,7
1026 FIRST AVE,7
471 PARK AVE S,7
1412 BROADWAY,7
5 WEST 125 STREET,7
161 WILLIAM STREET,7
40 WASHINGTON SQUARE SOUTH,7
3 EAST 54 STREET,7
1081 3RD AVE,7
344 AMSTERDAM AVE,7
754 5 AVENUE,7
627 GREENWICH STREET,7
161          WEST 10 STREET,7
332          EAST 6 STREET,7
235 W 76TH ST,7
205 WEST 39 STREET,7
405 EAST 14 STREET,7
130 WILLIAM ST,7
133 GREENWICH STREET,7
268 MADISON AVE,7
135          ELDRIDGE STREET,7
143 W 29TH ST,7
594 BROADWAY,7
128 WEST 65 STREET,7
1385 BWAY,7
2 RECTOR STREET,7
5 UNION SQUARE WEST,7
34 COOPER SQUARE,7
312 EAST 42 STREET,7
666 5 AVENUE,7
100          WEST 125 STREET,7
27 WILLIAM STREET,7
95 MORTON ST,7
44 E 32ND ST,7
2116 FIRST AVENUE,7
312 WEST 31 STREET,7
135 MADISON AVE,7
103 E 86TH ST,7
175 5 AVE,7
729 SEVENTH AVE,7
478 BROADWAY,7
528 7TH AVE,7
895 BROADWAY,7
101 10 AVENUE,7
641 6 AVENUE,7
200 RIVERSIDE BLVD,7
875 WEST END AV,7
43 WORTH STREET,7
425 EAST 61ST ST,7
1162 2 AVENUE,7
18 E 48TH ST,7
660 WEST END AVE,7
150 RIVERSIDE DR,7
252 W 38 ST,7
440 WEST 41 STREET,7
229 CHRYSTIE STREET,7
265 W 37TH ST,7
124 WHITE STREET,7
954 LEXINGTON AVENUE,7
341 HUDSON STREET,7
29 W 30TH ST,7
66 WEST 12 STREET,7
331 CENTRAL PK W,7
15 MAIDEN LANE,7
