building,counts
42-15 43 AV,4
97-40 43 AV,4
12-46 CENTRAL AV,4
43-36 ROBINSON ST,4
172-17 JAMAICA AV,4
89-10 35 AV,4
150-24 86 AV,4
33 REID AV,4
42-02 KISSENA BLVD,4
88-44 161 ST,4
85-05 144 ST,4
164-10 84 AV,4
162-21 POWELL COVE BLVD,4
38-68 13 ST,4
144-31 91 AV,4
162-01 POWELL COVE BLVD,4
22-07 41 AV,4
55-60 58 ST,4
21-16 40 AV,4
57-47 47 ST,4
40-30 CRESCENT ST,4
100-17 23 AV,4
134-15 166 PL,4
136-11 31 RD,4
41-43 28 ST,4
34-17 107 ST,4
32-37 100 ST,4
89-44 135 ST,4
63-15 TRAFFIC AV,4
29-12 40 AV,4
89-52 QUEENS BLVD,4
141-05 PERSHING CRESCENT,4
90-37 PARSONS BLVD,4
178-10 WEXFORD TERR,4
324 BEACH 59 ST,4
164-07 JAMAICA AV,4
60-30 MADISON ST,4
90-36 149 ST,4
139-10 28 RD,4
92-45 GUY R BREWER BLVD,4
20-20 STEINWAY ST,4
37-30 73 ST,4
150-31 12 AV,4
89-34 135 ST,4
47-39 AUSTELL PL,4
24-16 BRIDGE PLAZA S,4
46-02 158 ST,4
123-20 82 ST,4
226-50 MENTONE AV,4
18-15 COLLEGE POINT BLVD,4
68-02 METROPOLITAN AV,4
139-15 83 AV,4
23-01 42 RD,4
133-33 BROOKVILLE BLVD,4
41-87 MAIN ST,4
64-20 175 ST,4
44-01 21 ST,4
35-19 LEAVITT ST,4
119-19 GRAHAM COURT,4
46-10 CENTER BLVD,4
94-43 159 ST,4
80-24 BRDWAY,4
90-30 METROPOLITAN AV,4
83-20 PETTIT AV,4
83-75 WOODHAV BLVD,4
36-19 BOWNE ST,4
1-55 BORDEN AV,4
58-51 52 AV,4
43-35 UNION ST,4
97-07 63 RD,4
43-30 PARSONS BLVD,4
137-10 FRANKLIN AV,4
67-02 52 RD,4
192-06 CROCHERON AV,4
50-00 GRAND AV,4
62-27 136 ST,4
104-38 164 ST,4
89-29 134 ST,4
144-15 41 AV,4
172-14 HENLEY RD,4
44-29 9 ST,4
60-40 MADISON ST,4
120-55 QUEENS BLVD,4
222-05 56 AV,4
40-09 95 ST,4
154-71 BROOKVILLE BLVD,4
138-68 94 AV,4
232-20 NORTHERN BLVD,4
41-63 FRAME PL,4
143-09 HOLLY AV,4
74-17 GRAND AV,4
219-54 JAMAICA AV,4
144-38 35 AV,4
87-84 165 ST,4
233-15 MERRICK BLVD,4
41-06 DELONG ST,4
55-01 94 ST,4
165-21 JAMAICA AV,4
98-30 67 AV,4
107-18 165 ST,4
83-35 139 ST,4
163-04 71 AV,4
71-25 113 ST,4
72-45 DOUGLASTON PKWAY,4
135-30 140 ST,4
207-11 89 AV,4
108-37 71 AV,4
133-50 ROOSEVELT AV,4
159-22 90 AV,4
98-18 ROCKAWAY BLVD,4
108-48 70 RD,4
132-37 POPLE AV,4
17-11 BROOKHAV AV,4
42-52 NORTHERN BLVD,4
1889 DE KALB AV,4
18-75 CORP KENNEDY ST,4
84-50 16 AV ST,4
182-25 WEXFORD TERR,4
65-75 TRAFFIC AV,4
120 BEACH 19 ST,4
26-26 141 ST,4
14-23 BRDWAY,4
162-15 HIGHLAND AV,4
80-55 CORNISH AV,4
155-24 101 ST,4
131-01 39 AV,4
42-15 25 ST,4
22-04 COLLIER AV,4
73-50 71 ST,4
716 BEACH 20 ST,4
158-25 72 AV,4
102-40 6 AV RD,4
8623 56 AV,4
40-38 191 ST,4
107-01 MERRICK BLVD,4
33-34 80 ST,4
112-13 NORTHERN BLVD,4
190-02 HORACE HARDING EXPRESSWAY,4
119-09 26 AV,4
136-05 SANFORD AV,4
89-63 163 ST,4
83-53 MANTON ST,4
95-04 35 AV,4
109-67 SUTPHIN BLVD,4
65-11 108 ST,4
136-75 37 AV,4
51-10 21 ST,4
34-24 VERNON BLVD,4
40-20 22 ST,4
36-01 28 AV,4
110-50 71 RD,4
73-11 194 ST,4
143-33 229 ST,4
125 BEACH 1 AV ST,4
100-30 DITMARS BLVD,4
164-01 GOETHALS AV,4
66-10 KISSENA BLVD,4
162-41 POWELL COVE BLVD,4
11-39 49 AV,4
148-20 REEVES AV,4
121-10 ROOSEVELT AV,4
34-15 74 ST,4
84-35 152 ST,4
166-33 8 AV AV,4
144-90 41 AV,4
86-10 109 ST,4
124-09 101 AV,4
14-10 SEAGIRT BLVD,4
142-46 SANFORD AV,4
82-15 BRITTON AV,4
44-26 PURVES ST,4
120-08 RIVIERA COURT,4
25-15 36 ST,4
147-37 9 AV AV,4
57-18 48 ST,4
144-30 SANFORD AV,4
144-35 SANFORD AV,4
95-10 DITMARS BLVD,4
85-05 35 AV,4
3-36 ST NICHOLAS AV,4
36-08 2 AV ST,4
1863 PUTNAM AV,4
34-31 8 AV ST,4
45-40 COURT SQUARE,4
12-87 CENTRAL AV,4
10-31 44 RD,4
143-08 ROOSEVELT AV,4
90-11 3 AV AV,4
61-15 97 ST,4
84-40 101 ST,4
93-41 222 ST,4
222-50 141 AV,4
33-52 81 ST,4
23-30 NEWTOWN AV,4
70-66 KISSENA BLVD,4
179 BEACH 115 ST,4
38-28 9 ST,4
12-12 43 AV,4
119-45 SUTPHIN BLVD,4
47-44 31 ST,4
78-40 164 ST,4
29-28 41 AV,4
2-39 54 AV,4
65-70 KISSENA BLVD,4
36-14 165 ST,4
32-14 NORTHERN BLVD,4
50-09 2 ST,4
143-09 BARCLAY AV,4
132-49 41 RD,4
47-15 PEARSON PL,4
75-02 162 ST,4
64-11 99 ST,4
127-01 JAMAICA AV,4
37-10 114 ST,4
86-10 151 AV,4
175-15 ROCKAWAY BLVD,4
41-11 40 ST,4
67-00 192 ST,4
43-49 10 ST,4
224-22 76 AV,4
27-13 21 ST,4
31-42 103 ST,4
137-47 45 AV,4
40-60 ELBERTSON ST,4
110-31 MERRICK BLVD,4
139-96 35 AV,4
214-25 42 AV,4
1812 GEORGE ST,4
4-30 BEACH 6 AV ST,4
72-36 112 ST,4
84-03 LANDER ST,4
51-35 REEDER ST,4
137-08 31 RD,4
165-15 ARCHER AV,4
42-05 PARSONS BLVD,4
37-51 8 AV ST,4
57-02 PARSONS BLVD,4
97-25 108 ST,4
128-40 146 ST,4
142-28 38 AV,4
53-11 58 ST,4
178-02 LIBERTY AV,4
55-15 GRAND AV,4
2-14 50 AV,4
142-38 37 AV,4
270-40 GRAND CENTRAL PARKWAY,4
147-10 8 AV RD,4
65-45 OTTO RD,4
37-63 83 ST,4
84-10 101 ST,4
28-02 JACKSON AV,4
121-26 IRWIN PL,4
71-19 162 ST,4
94-31 120 ST,4
86-05 60 RD,4
92-5 WHITNEY AV,4
126 WARWICK AV,4
50-20 99 ST,4
25-45 BOROUGH PL,4
135-17 NORTHERN BLVD,4
147-36 26 AV,4
144-30 ROOSEVELT AV,4
41-15 46 ST,4
120-12 85 AV,4
86-13 LEFFERTS BLVD,4
108-49 GUY R BREWER BLVD,4
95-35 148 ST,4
26-32 SKILLMAN AV,4
160-10 89 AV,4
4-65 48 AV,4
41-02 NORTHERN BLVD,4
40-15 81 ST,4
42-83 HUNTER ST,4
31-75 23 ST,4
38-25 PARSONS BLVD,4
67-66 108 ST,4
58-60 FRANCIS LEWIS BLVD,4
84-15 143 ST,4
62-10 NORTHERN BLVD,4
58-40 BORDEN AV,4
18-40 211 ST,4
336 38 RD,4
47-30 29 ST,4
86-75 MIDLAND PKWAY,4
170-01 GRAND CENTRAL PARKWAY,4
164-20 HIGHLAND AV,4
175-07 LIBERTY AV,4
132-29 BLOSSOM AV,4
89-37 134 ST,4
143-36 BARCLAY AV,4
144-07 SANFORD AV,4
62-48 MT OLIVET CRESCENT,4
157-12 18 AV,4
5466 46 ST,4
267-20 74 AV,4
142-10 ROOSEVELT AV,4
48-01 90 ST,4
39-01 MAIN ST,4
30-48 LINDEN PL,4
65-21 MAIN ST,4
311 BEACH 85 ST,4
94-03 222 ST,4
29-27 40 RD,4
91-38 SPRINGFIELD BLVD,4
184-30 JAMAICA AV,4
92-77 QUEENS BLVD,4
59-10 DECATUR ST,4
89-50 56 AV,4
183-11 HILLSIDE AV,4
163-27 ARCHER AV,4
90-23 14 AV ST,4
34-25 82 ST,4
162-05 8 AV AV,4
141-25 NORTHERN BLVD,4
67-38 108 ST,4
217-08 36 AV,4
58-61 57 ST,4
119-24 JAMAICA AV,4
30-50 WHITESTONE EXPRESSWAY SR,4
25-15 50 ST,4
152-18 UNION TURNPIKE,4
11-01 43 AV,4
126-02 82 AV,4
42-69 KISSENA BLVD,4
144-33 JAMAICA AV,4
29-10 137 ST,3
144-01 157 ST,3
110-30 221 ST,3
59-55 47 AV,3
43-48 162 ST,3
185-01 HILLSIDE AV,3
39-15 MAIN ST,3
83-55 AUSTIN ST,3
41-71 BOWNE ST,3
31-36 47 ST,3
143-10 SPRINGFIELD BLVD,3
65-44 KISSENA BLVD,3
32-16 36 ST,3
143-51 ROOSEVELT AV,3
94-13 120 ST,3
2-57 BEACH 116 ST,3
173-31 113 AV,3
175-27 WEXFORD TERRACE,3
140-65 BEECH AV,3
35-11 VERNON BLVD,3
82-23 BRDWAY,3
60-02 60 LANE,3
37-60 88 ST,3
102-10 LARUE AV,3
43-17 UNION ST,3
244-44 87 AV,3
3915 MAIN ST,3
91-31 175 ST,3
3-01 121 ST,3
132-55 RIDGEDALE ST,3
89-19 SUTPHIN BLVD,3
105-04 133 ST,3
43-02 COLDEN ST,3
108-02 72 AV,3
100-01 NORTH CONDUIT AV,3
102-22 188 ST,3
35-15 PARSONS BLVD,3
104-13 LIVERPOOL ST,3
135-02 39 AV,3
22-44 JACKSON AV,3
10-20 NEILSON ST,3
84-09 TALBOT ST,3
120-04 ROCKAWAY BLVD,3
144-03 BARCLAY AV,3
83-45 BRDWAY,3
166-08 JAMAICA AV,3
65-41 BOOTH ST,3
35-27 7 AV ST,3
218-51 HEMPSTEAD AV,3
8000 COOPER AV,3
55-15 LITTLE NECK PKWAY,3
89-02 165 ST,3
80-36 COOPER AV,3
164-19 HILLSIDE AV,3
68-38 YELLOWSTONE BLVD,3
117-09 232 ST,3
121-01 NORTH CONDUIT AV,3
83-77 WOODHAV BLVD,3
58-35 GRANGER ST,3
59-20 VAN DOREN ST,3
144-25 ROOSEVELT AV,3
34-21 77 ST,3
58-01 136 ST,3
68-14 68 ST,3
16-10 CENTRAL AV,3
145-13 232 ST,3
90-38 170 ST,3
31-28 NORTHERN BLVD,3
402 BEACH 134 ST,3
37-02 MAIN ST,3
145-50 SHORE AV,3
121-10 ROCKAWAY BLVD,3
39-66 46 ST,3
45-27 ROBINSON ST,3
39-88 49 ST,3
13-11 44 AV,3
128-28 25 AV,3
19-25 SEAGIRT BLVD,3
23-15 ASTORIA BLVD,3
38-20 BOWNE ST,3
101-24 QUEENS BLVD,3
85-16 ROOSEVELT AV,3
92-02 151 ST,3
139-09 28 RD,3
36-20 BOWNE ST,3
200-20 44 AV,3
131-01 FOWLER AV,3
18-19 PALMETTO ST,3
94-01 23 AV,3
151-20 BAISLEY BLVD,3
31-02 NORTHERN BLVD,3
38-58 12 ST,3
46-30 CENTER BLVD,3
91-32 195 ST,3
144-76 SANFORD AV,3
14-33 31 AV,3
23-02 43 AV,3
142-30 SANFORD AV,3
